power,count
"375 hp @ 6,500 RPM",97
"345 hp @ 5,400 RPM",96
"235 hp @ 6,200 RPM",96
"350 hp @ 3,000 RPM",95
"444 hp @ 5,700 RPM",93
"305 hp @ 5,650 RPM",93
"157 hp @ 5,600 RPM",93
"197 hp @ 6,300 RPM",92
"248 hp @ 5,600 RPM",92
"365 hp @ 6,000 RPM",92
"210 hp @ 5,800 RPM",92
"137 hp @ 6,100 RPM",92
"349 hp @ 5,400 RPM",90
"275 hp @ 6,600 RPM",90
"300 hp @ 5,500 RPM",90
"276 hp @ 5,250 RPM",90
"193 hp @ 6,300 RPM",90
"349 hp @ 6,400 RPM",89
"255 hp @ 6,950 RPM",88
"250 hp @ 6,400 RPM",87
"429 hp @ 5,250 RPM",87
"208 hp @ 5,000 RPM",87
"494 hp @ 5,000 RPM",85
"235 hp @ 6,400 RPM",85
"264 hp @ 6,000 RPM",84
"205 hp @ 7,000 RPM",83
"230 hp @ 5,600 RPM",83
"262 hp @ 6,250 RPM",83
"567 hp @ 6,000 RPM",83
"99 hp @ 4,800 RPM",82
"650 hp @ 6,400 RPM",82
"210 hp @ 4,500 RPM",81
"84 hp @ 6,400 RPM",81
"215 hp @ 5,600 RPM",81
"315 hp @ 5,800 RPM",79
"171 hp @ 6,000 RPM",78
"121 hp @ 6,000 RPM",78
"402 hp @ 5,000 RPM",78
"285 hp @ 5,200 RPM",77
"375 hp @ 5,200 RPM",77
"110 hp @ 6,000 RPM",77
"265 hp @ 6,950 RPM",77
"383 hp @ 5,600 RPM",77
"220 hp @ 4,700 RPM",77
"252 hp @ 6,300 RPM",77
"260 hp @ 6,600 RPM",76
"310 hp @ 6,000 RPM",76
"333 hp @ 5,300 RPM",76
"270 hp @ 6,000 RPM",75
"235 hp @ 4,800 RPM",75
"335 hp @ 5,700 RPM",75
"142 hp @ 6,000 RPM",75
"707 hp @ 6,000 RPM",74
"221 hp @ 6,250 RPM",74
"366 hp @ 5,500 RPM",74
"707 hp @ 6,200 RPM",73
"254 hp @ 3,750 RPM",72
"156 hp @ 6,200 RPM",72
"202 hp @ 6,000 RPM",71
"255 hp @ 6,500 RPM",71
"266 hp @ 5,600 RPM",71
"155 hp @ 6,100 RPM",70
"453 hp @ 5,500 RPM",70
"165 hp @ 6,000 RPM",69
"420 hp @ 6,000 RPM",69
"470 hp @ 6,000 RPM",69
"330 hp @ 2,600 RPM",68
"345 hp @ 5,200 RPM",66
"410 hp @ 5,600 RPM",66
"220 hp @ 5,800 RPM",65
"154 hp @ 6,000 RPM",65
"190 hp @ 4,400 RPM",65
"329 hp @ 5,500 RPM",65
"255 hp @ 4,000 RPM",65
"550 hp @ 6,000 RPM",64
"220 hp @ 5,600 RPM",64
"180 hp @ 5,200 RPM",63
"250 hp @ 6,000 RPM",62
"292 hp @ 5,700 RPM",62
"603 hp @ 5,750 RPM",62
"600 hp @ 6,000 RPM",62
"303 hp @ 6,800 RPM",62
"225 hp @ 5,900 RPM",61
"224 hp @ 4,800 RPM",61
"430 hp @ 5,900 RPM",61
"260 hp @ 4,500 RPM",60
"181 hp @ 7,000 RPM",60
"182 hp @ 6,200 RPM",60
"250 hp @ 3,200 RPM",60
"174 hp @ 3,600 RPM",59
"304 hp @ 6,400 RPM",59
