sp_name,count
Central Chevrolet Inc,237
Cherry Hill Mitsubishi,236
Berlin City Toyota of Portland,235
Webb Hyundai Highland,235
Monaco Ford,235
Millennium Toyota,235
Legend Nissan,235
BMW MINI of Annapolis,235
Smithtown Toyota,235
Stetler Dodge Chrysler Jeep Ram,234
Montgomeryville Nissan,234
Milford Nissan,234
Herb Chambers Chrysler Jeep Dodge RAM FIAT of Danvers,234
Marlboro Nissan,233
Tulley of Nashua,233
Blasius Pre-Owned Auto Sales,233
Ourisman Chrysler Dodge Jeep RAM of Bowie,233
Dave McDermott Chevrolet,233
J & S AutoHaus - Ewing,233
AutoFair Nissan of Chelmsford,232
Empire Toyota of Huntington,232
Sheehy Hyundai,232
Ciocca Honda,232
World Hyundai Matteson,231
Del Toyota,231
Ourisman Chevrolet of Marlow Heights,230
Bedard Bros Auto Sales,230
Vermilion Chevrolet Buick GMC,230
Tri City Subaru,230
Fuccillo Lincoln Hyundai,230
Kia of Attleboro,230
Grand Blanc Mitsubishi,229
Faulkner Nissan,229
Colonial South Chrysler Jeep Dodge,229
Ourisman Volkswagen Volvo of Bethesda,228
JBA Chevrolet,228
Autobahn USA,228
Ourisman Chevrolet of Rockville,227
Prestige Lexus,227
Hamilton Imports,227
Champion Chevrolet of Howell,227
Lester Glenn Chrysler Dodge Jeep RAM FIAT,227
DARCARS Chrysler Dodge Jeep Ram of Silver Spring,227
Courtesy Motors,227
Sheehy Nissan of Glen Burnie,226
Boch Chevrolet,226
Lincoln Of Wayne,226
Clay Subaru,226
DARCARS Toyota of Baltimore,225
Jannell Ford of Hanover,225
Sport Hyundai Dodge,225
Queens Auto Mall,225
Rockland Motors,224
Page Honda Bloomfield,224
Jack Daniels Kia,224
Greg Hubler Ford,224
East Hills Chevrolet of Douglaston,224
Mercedes-Benz of Fairfield,224
Competition BMW of Smithtown,223
Branhaven Chrysler Jeep Dodge,223
Mercedes-Benz of Smithtown,223
Springfield Buick GMC,223
Herb Chambers BMW of Sudbury,223
Kelly Nissan of Lynnfield,223
Lou Lariche Chevrolet,223
Royal Buick GMC,223
Concordville Nissan,222
Ourisman Lexus of Rockville,222
Paul Masse Buick Gmc South,222
Atlantic Auto Sales,222
Heritage Chrysler Jeep Dodge Owings Mills,222
